paragraph_id,text_sha256,masked_host_text
PASSION24.HOUR.19.P126,59fd3c15dea84b0c07649f2b9217e8f0245990670767e842891fc56234f59930,"⟦Q:JESUS⟧ » Mon Jésus plein d’amertume, ma voix, fondue dans la Tienne, veut faire face à toutes ces offenses."
PASSION24.HOUR.19.P137,35229feb7a00d6db2836a7aef77e8607ce78b3777ead92853d7ce41136ead797,"⟦Q:JESUS⟧ » Mon Jésus, ton Amour est un doux enchantement pour moi et me pousse à faire ce que Tu fais."
PASSION24.HOUR.19.P165,6ba1e33250ef2d57dcbccfeefa285ce1fa276c49413273b400b492b198c7f4cc,"⟦Q:FATHER⟧ » Mais Toi, ô mon Jésus, triomphant de tout, Tu défends même ces âmes, Tu endigues par l’Amour immense de ton Cœur les vagues des amertumes et des blessures qu’elles Te procurent."
PASSION24.HOUR.20.P010,a9e4c2c95dc592a31ac7a4eccd86324863e7d3c479e2dbf2051795623d03f657,"« ⟦Q:JESUS⟧ » Et, de nouveau, Tu Te renfermes dans le silence, Tu es plongé dans des Souffrances inouïes."
PASSION24.HOUR.21.P020,052a0cbd283fcc77c9daf86d45bfda1b4ff7f1adf4cfe22f0c3a498ae828e832,Troisième Parole : Jésus dit à sa Maman : « ⟦Q:JESUS⟧ » et à Jean : « ⟦Q:JESUS⟧ »
PASSION24.HOUR.21.P023,cfd323fd3ba0dee71cfaeced5d39d7b952e8eab8bb9a70e77dfa1eb80f1c27a5,"Il Te fait dire : « ⟦Q:JESUS⟧ » Leur ayant tout donné, Tu n’as plus rien à donner aux créatures. Tu tournes ton Regard suppliant vers ta Maman. Elle comme Toi, se sent crucifiée à cause de tes Souffrances et de l’Amour qui la torture."
PASSION24.HOUR.21.P025,4f17e7481c78ea22cd59796b4e66c063b6db0e0e8cf9ef5ec12759c6d2de3d70,"En associant Jean à tout le genre humain, Tu dis à Marie d’une Voix remplie de tendresse : « ⟦Q:JESUS⟧ » et Tu dis à Jean : « ⟦Q:JESUS⟧ »"
PASSION24.HOUR.21.P027,76138a89389e9f6dbed5406a7b8f8adc2f3c6f44db3a3758f81310d50242557e,"« ⟦Q:JESUS⟧ » Et ta sainte Maman accepte. Je veux ici, ô mon Jésus, réparer les offenses qui sont faites à ta Très Sainte Mère, les blasphèmes et les ingratitudes de tant de gens qui ne veulent pas reconnaître le grand Bienfait que Tu as accordé à tous, en nous donnant Marie comme Mère."
PASSION24.HOUR.21.P068,d4dea4d9c20e2b2cec80528c3929973574abe435d4315b233d3cb2db7c3af613,"⟦Q:JESUS⟧ » Mon Amour, combien je suis désolée ! Tu T’essouffles !"
PASSION24.HOUR.22.P006,4d8a62b88b431940e9534e919efcf8d829fcfa97c22c5ed59003a8e5fc64a727,"Par l’eau que Tu aimerais boire, Tu voudrais nous mettre tous en sûreté à l’intérieur de Toi. Rassemblant tes forces très affaiblies, Tu cries : « ⟦Q:JESUS⟧ » Ah ! cette Parole, Tu la dis de tout ton divin Cœur :"
PASSION24.HOUR.22.P022,4c0b8a36dcc295d5e9d25509a74b5f28a74540d4701d710fe7a2b7ddedf54ada,"« ⟦Q:JESUS⟧ » Ô mon Jésus, Tu as déjà tout épuisé. Il ne Te reste rien d’autre. L’Amour est parvenu à son terme. Et moi, me suis-je consumée tout entière par amour ? Quels remerciements ne devrais-je pas Te faire. Quelle ne devrait pas être ma gratitude envers Toi ?"
PASSION24.HOUR.22.REF.P001,aef902b37929a0c9da331e540ea8864c8446a769e0dee04ac844c692cf992b1a,"Jésus brûle de Soif. Et nous, brûlons-nous d’amour pour Lui ? Nos pensées et nos affections ont-elles toujours pour but d’étancher sa Soif ardente ? Jésus assoiffé, ne pouvant supporter la Soif qui Le brûle, dit : « ⟦Q:JESUS⟧ » Jésus S’est sacrifié tout entier pour nous. Et nous, en toute chose, nous efforçons-nous d’être continuellement consumés d’amour pour Lui ? Toutes les Actions, Paroles et Pensées de Jésus Le portaient vers le sacrifice total de Lui-même. Et nous, chacune de nos actions, paroles et pensées nous poussent-elles à nous consumer d’amour pour Lui ? Jésus, ma douce Vie, que ton Haleine moribonde pénètre dans mon pauvre cœur pour que je puisse recevoir l’empreinte de ton Sacrifice total. Sur la Croix, Jésus accomplit en toute chose la Volonté du Père et Il expire dans un Acte de parfait abandon à cette Volonté infiniment sainte."
